participant_id,mindset,puzzles_completed
1,Hero,5
2,Hero,17
3,Hero,19
4,Hero,6
5,Hero,11
6,Hero,12
7,Hero,5
8,Hero,7
9,Hero,4
10,Hero,8
11,Hero,13
12,Hero,9
13,Hero,4
14,Hero,12
15,Hero,29
16,Hero,13
17,Hero,9
18,Hero,9
19,Hero,24
20,Hero,14
21,Hero,15
22,Hero,5
23,Hero,5
24,Hero,16
25,Hero,5
26,Hero,7
27,Hero,7
28,Hero,6
29,Hero,10
30,Hero,17
31,Hero,13
32,Hero,8
33,Hero,11
34,Hero,14
35,Hero,12
36,Hero,10
37,Hero,11
38,Hero,9
39,Hero,11
40,Hero,7
41,Villain,6
42,Villain,12
43,Villain,7
44,Villain,5
45,Villain,9
46,Villain,6
47,Villain,12
48,Villain,6
49,Villain,16
50,Villain,18
51,Villain,12
52,Villain,12
53,Villain,11
54,Villain,15
55,Villain,14
56,Villain,15
57,Villain,18
58,Villain,10
59,Villain,10
60,Villain,24
61,Villain,8
62,Villain,7
63,Villain,4
64,Villain,16
65,Villain,17
66,Villain,6
67,Villain,25
68,Villain,9
69,Villain,6
70,Villain,7
71,Villain,10
72,Villain,16
73,Villain,5
74,Villain,12
75,Villain,8
76,Villain,14
77,Villain,9
78,Villain,6
79,Villain,13
80,Villain,10
