participant_id,productivity_main_character,productivity_villain
1,12.3,11.1
2,13.5,11.6
3,14,12.3
4,13.6,13.5
5,13.9,13.2
6,8.9,8.7
7,14.8,12.6
8,14.2,13.4
9,10.2,7.8
10,10.3,9.1
11,12.9,11.3
12,12.9,11.1
13,7.9,7.2
14,11.1,9.1
15,12.7,13.1
16,9.6,8.9
17,10,11.7
18,13.9,16.5
19,9.3,9.3
20,12.9,13
21,9,7.8
22,12.9,12.8
23,6.1,5.6
24,11.5,10.1
25,11.3,8.5
26,11.2,8.7
27,12.9,11.3
28,7.3,5.3
29,8.6,8.2
30,13.5,12.3
31,13.1,11.6
32,8.5,7.9
33,7.7,5.5
34,12.3,10.2
35,14,12.3
36,11.9,9.3
37,14.9,14
38,11.2,8.7
39,7.3,6.3
40,12,10.3
41,14.5,12
42,12.9,12.8
43,7.9,5.8
44,11.3,15.6
45,16.7,17
46,13.3,11
47,10.8,10.3
48,15.1,19.4
49,10,10
50,12.4,11.5
