participant_id,excitement_before,excitement_after
1,64.6,69
2,50.6,64
3,47.7,49.5
4,22.9,40.9
5,64.8,76.7
6,60.6,64.6
7,46.5,66.6
8,34.9,47.2
9,56.3,60.6
10,63.5,67.1
11,59.1,67
12,31.1,42.6
13,55.1,63.1
14,32.2,48.1
15,69.3,88.9
16,66.6,86.3
17,57.7,68.5
18,76.6,78
19,42.5,63.6
20,42.2,56.8
21,55.2,69.4
22,64.7,61.6
23,82.6,91.6
24,47,61.7
25,54.9,67.2
26,56.9,76.7
27,56.1,77.1
28,49.4,63.6
29,38.3,51
30,57.8,63.2
31,64.3,72.8
32,67.2,92.9
33,43.8,59.2
34,64.2,76.4
35,47.2,52.9
36,59.6,91.8
37,45.2,47.8
38,55.4,61.5
39,42.5,62.6
40,45.2,56.3
41,54.7,67.4
42,48,55.1
43,70.3,78.9
44,60.1,78.8
45,50.6,62.7
46,53.5,73.2
47,32.6,46.8
48,42.8,48.9
49,46.8,60.4
50,51.9,67.9
